Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation
RcsAB DNA-binding-site 11 bases downstream of flhDp	1978385	Regulation of flhDp by RcsAB DNA-binding transcriptional dual regulator
SoxS DNA-binding-site 19.5 bases upstream of robp	4635372.5	Regulation of robp by DNA-binding transcriptional dual regulator SoxS
Fis DNA-binding-site 91 bases upstream of rrsAp	4035148	Regulation of rrsAp by DNA-binding transcriptional dual regulator Fis // Regulation of rrsAp1 by DNA-binding transcriptional dual regulator Fis
CpxR-phosphorylated DNA-binding-site 464 bases upstream of csgBp2	1103395	Regulation of csgBp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of csgBp by DNA-binding transcriptional dual regulator CpxR-phosphorylated
HipB DNA-binding-site 5 bases downstream of relAp1	2913825	Regulation of relAp1 by antitoxin/DNA-binding transcriptional repressor HipB
SoxS DNA-binding-site 50.5 bases upstream of ydbKp	1440881.5	Regulation of ydbKp by DNA-binding transcriptional dual regulator SoxS
AscG DNA-binding-site 46.5 bases upstream of prpRp	348517.5	Regulation of prpRp by DNA-binding transcriptional repressor AscG
Fis DNA-binding-site 75 bases upstream of serXp	1097751	Regulation of serXp by DNA-binding transcriptional dual regulator Fis
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 195.5 bases upstream of melAp	4341691.5d0	Regulation of melAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of melRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
NarL-Pasp59 DNA-binding-site 40 bases upstream of dcuSp	4351725	Regulation of dcuSp by DNA-binding transcriptional dual regulator NarL-phosphorylated
LexA DNA-binding-site 8.5 bases upstream of symEp	4579925.5	Regulation of symEp by DNA-binding transcriptional repressor LexA
PhoB-Pasp53 DNA-binding-site 33 bases upstream of amnp1	2054998	Regulation of amnp1 by DNA-binding transcriptional dual regulator PhoB-phosphorylated
PhoP-Pasp51 DNA-binding-site 32 bases upstream of ybjGp	883540	Regulation of ybjGp by DNA-binding transcriptional dual regulator PhoP-phosphorylated
Cra DNA-binding-site 166.5 bases upstream of aceBp	4215235.5	Regulation of aceBp by DNA-binding transcriptional dual regulator Cra
Lrp DNA-binding-site 134 bases upstream of serCp1	957461	Regulation of serCp1 by DNA-binding transcriptional dual regulator Lrp
PdhR DNA-binding-site 178 bases upstream of tomBp	480972	Regulation of tomBp by DNA-binding transcriptional dual regulator PdhR
Lrp-leu DNA-binding-site 40.5 bases upstream of leuEp	1880840.5	Regulation of leuEp by DNA-binding transcriptional dual regulator Lrp-L-leucine
Lrp DNA-binding-site regulating lysPp		Regulation of lysPp by DNA-binding transcriptional dual regulator Lrp
DNA-binding transcriptional dual regulator Fur DNA-binding-site 124 bases upstream of metHp1	4223659	Regulation of metHp1 by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
PhoB-Pasp53 DNA-binding-site regulating phnCp		Regulation of phnCp by DNA-binding transcriptional dual regulator PhoB-phosphorylated
StpA DNA-binding-site 46 bases upstream of casAp	2884365	Regulation of casAp by DNA-binding transcriptional repressor StpA with RNA chaperone activity
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 81.5 bases upstream of dctAp	3683579.5	Regulation of dctAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
DNA-binding transcriptional dual regulator Fur DNA-binding-site 31.5 bases upstream of mntHp	2512765.5	Regulation of mntHp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
H-NS DNA-binding-site regulating gadWp2		Regulation of gadWp2 by DNA-binding transcriptional dual regulator H-NS
LexA DNA-binding-site 0.5 bases upstream of umuDp	1230737.5d0	Regulation of umuDp by DNA-binding transcriptional repressor LexA
AdiY DNA-binding-site regulating gltBp2		Regulation of gltBp2 by DNA-binding transcriptional activator AdiY // Regulation of gltBp by DNA-binding transcriptional activator AdiY
NhaR-Na+ DNA-binding-site regulating rrsEp1		Regulation of rrsEp1 by NhaR-Na+ DNA-binding transcriptional activator
ArcA-Pasp54 DNA-binding-site 170.5 bases upstream of iraMp1	1212260.5	Regulation of iraMp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated
DNA-binding transcriptional dual regulator Fur DNA-binding-site 32 bases upstream of entSp1	622226	Regulation of entSp1 by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator // Regulation of entSp1 by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator // Regulation of fepDp1 by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
YefMB DNA-binding-site 2.5 bases downstream of yefMp	2089731.5	Regulation of yefMp by YefM-YoeB antitoxin/toxin complex / DNA-binding transcriptional repressor
Pasp56 RcsB DNA-binding-site 52.5 bases upstream of rseDp1	2710391.5	Regulation of rseDp1 by DNA-binding transcriptional dual regulator RcsB-phosphorylated // Regulation of rseDp2 by DNA-binding transcriptional dual regulator RcsB-phosphorylated
NarL-Pasp59 DNA-binding-site 67 bases upstream of aspAp	4368499	Regulation of aspAp by DNA-binding transcriptional dual regulator NarL-phosphorylated
CsgD DNA-binding-site 47 bases upstream of adrAp	403640	Regulation of adrAp by DNA-binding transcriptional dual regulator CsgD
CueR DNA-binding-site 25 bases upstream of copAp	511436	Regulation of copAp by DNA-binding transcriptional dual regulator CueR-Cu+
Fis DNA-binding-site 164 bases upstream of crpp3	3485861	Regulation of crpp3 by DNA-binding transcriptional dual regulator Fis // Regulation of crpp2 by DNA-binding transcriptional dual regulator Fis // Regulation of crpp1 by DNA-binding transcriptional dual regulator Fis
Nac DNA-binding-site regulating ybdR	641907	Regulation of uspG by DNA-binding transcriptional dual regulator Nac // Regulation of ybdR by DNA-binding transcriptional dual regulator Nac
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 167.5 bases upstream of argGp	3318394.5	Regulation of argGp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of metYp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 377.5 bases upstream of pdhRp2	121656.5	Regulation of pdhRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of pdhRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
IscR DNA-binding-site 145.5 bases upstream of sufAp	1764563.5	Regulation of sufAp by DNA-binding transcriptional dual regulator IscR
AscG DNA-binding-site 36.5 bases upstream of prpRp	348507.5	Regulation of prpRp by DNA-binding transcriptional repressor AscG
Nac DNA-binding-site regulating yaiS	384985	Regulation of tauA by DNA-binding transcriptional dual regulator Nac // Regulation of yaiS by DNA-binding transcriptional dual regulator Nac
Nac DNA-binding-site regulating ynfA	1655698	Regulation of ynfB by DNA-binding transcriptional dual regulator Nac // Regulation of ynfA by DNA-binding transcriptional dual regulator Nac
NsrR DNA-binding-site 64 bases downstream of dkgBp	229161	Regulation of dkgBp by DNA-binding transcriptional dual regulator NsrR
FadR DNA-binding-site 97 bases downstream of uspAp1	3640079	Regulation of uspAp1 by DNA-binding transcriptional dual regulator FadR
RacR DNA-binding-site regulating ydaSTUVW-rzpR (BS0-8726)	1420328	Regulation of ydaSTUVW-rzpR by Rac prophage; DNA-binding transcriptional repressor RacR
H-NS DNA-binding-site 240.5 bases downstream of mdtJp	1673539.5	Regulation of mdtJp by DNA-binding transcriptional dual regulator H-NS
Fnr DNA-binding-site 106.5 bases upstream of narXp	1277883.5d0	Regulation of narK by DNA-binding transcriptional dual regulator FNR // Regulation of narXp by DNA-binding transcriptional dual regulator FNR
BasR-Pasp51 DNA-binding-site 90.5 bases upstream of csgDp3	1103434.5	Regulation of csgDp3 by DNA-binding transcriptional dual regulator BasR-phosphorylated // Regulation of csgDp1 by DNA-binding transcriptional dual regulator BasR-phosphorylated
IHF DNA-binding-site 17 bases upstream of ilvLp1	3950201	Regulation of ilvLp1 by DNA-binding transcriptional dual regulator IHF // Regulation of ilvLp2 by DNA-binding transcriptional dual regulator IHF
IHF DNA-binding-site 127.5 bases upstream of hypAp	2850499.5	Regulation of hypAp by DNA-binding transcriptional dual regulator IHF // Regulation of hycAp by DNA-binding transcriptional dual regulator IHF
ArcA-Pasp54 DNA-binding-site regulating yhjE	3674592	Regulation of yhjE by DNA-binding transcriptional dual regulator ArcA-phosphorylated
LeuO DNA-binding-site 21 bases downstream of casAp	2884299	Regulation of casAp by DNA-binding transcriptional dual regulator LeuO
MarA DNA-binding-site regulating mdaB	3172462	Regulation of mdaB by DNA-binding transcriptional dual regulator MarA
GlaR DNA-binding-site regulating ydhS	1747140	Regulation of ydhS by DNA-binding transcriptional repressor GlaR
H-NS DNA-binding-site 32 bases upstream of cadBp	4360138	Regulation of cadBp by DNA-binding transcriptional dual regulator H-NS
FhlA-formate DNA-binding-site 84.5 bases upstream of hycAp	2850545.5	Regulation of hycAp by FhlA-formate DNA-binding transcriptional activator
CsgD DNA-binding-site 10.5 bases upstream of fliAp1	2001829.5	Regulation of fliAp1 by DNA-binding transcriptional dual regulator CsgD
H-NS DNA-binding-site 288.5 bases downstream of mdtJp	1673491.5	Regulation of mdtJp by DNA-binding transcriptional dual regulator H-NS
DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating efeOB	1081287	Regulation of efeOB by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
PspF DNA-binding-site 7 bases downstream of pspFp1	1367939	Regulation of pspFp1 by DNA-binding transcriptional dual regulator PspF // Regulation of pspAp by DNA-binding transcriptional dual regulator PspF
Nac DNA-binding-site regulating yieH	3896701	Regulation of yieH by DNA-binding transcriptional dual regulator Nac
MetJ-SAM DNA-binding-site 4.5 bases downstream of metAp1	4214236.5d0	Regulation of metAp1 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine
Fnr DNA-binding-site regulating pstSp2		Regulation of pstSp2 by DNA-binding transcriptional dual regulator FNR // Regulation of pstSp by DNA-binding transcriptional dual regulator FNR
DNA-binding transcriptional dual regulator Fur DNA-binding-site 7 bases upstream of furpa	710723	Regulation of furpa by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator // Regulation of furpb by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
AraC-arabinose DNA-binding-site 25 bases upstream of xylAp	3730832	Regulation of xylAp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator
Fnr DNA-binding-site 96.5 bases upstream of katGp	4133715.5d0	Regulation of katGp by DNA-binding transcriptional dual regulator FNR
PhoP-Pasp51 DNA-binding-site 161 bases upstream of malSp	3737309	Regulation of malSp by DNA-binding transcriptional dual regulator PhoP-phosphorylated
ArcA-Pasp54 DNA-binding-site 16.5 bases upstream of iraMp1	1212106.5	Regulation of iraMp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated
PhoB-Pasp53 DNA-binding-site regulating yegHp		Regulation of yegHp by DNA-binding transcriptional dual regulator PhoB-phosphorylated
PurR-hypoxanthine DNA-binding-site 7.5 bases downstream of gcvTp	3050765.5	Regulation of gcvTp by DNA-binding transcriptional repressor PurR-hypoxanthine
ArgP DNA-binding-site 62.5 bases upstream of lysPp	2248622.5	Regulation of lysPp by DNA-binding transcriptional dual regulator ArgP
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating cas3p	2887279	Regulation of cas3p by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
GalS-galactose DNA-binding-site 60.5 bases upstream of galEp	792141.5	Regulation of galEp by DNA-binding transcriptional dual regulator GalS // Regulation of galEp2 by DNA-binding transcriptional dual regulator GalS // Regulation of galEp2 by GalS-D-galactose // Regulation of galEp1 by DNA-binding transcriptional dual regulator GalS
CpxR-phosphorylated DNA-binding-site 141 bases upstream of csgDp3	1103485	Regulation of csgDp3 by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of csgDp1 by DNA-binding transcriptional dual regulator CpxR-phosphorylated
GadE DNA-binding-site 9.5 bases downstream of hdeAp2	3656782.5	Regulation of hdeAp2 by DNA-binding transcriptional activator GadE // Regulation of hdeAp by DNA-binding transcriptional activator GadE
AllR-allantoin DNA-binding-site 20 bases upstream of gclp	533887	Regulation of gclp by AllR-allantoin
NsrR DNA-binding-site 121 bases upstream of nrfAp	4287550	Regulation of nrfAp by DNA-binding transcriptional dual regulator NsrR
MarA DNA-binding-site 58.5 bases upstream of fprp	4114557.5	Regulation of fprp by DNA-binding transcriptional dual regulator MarA
UxuR DNA-binding-site 132.5 bases downstream of lgoRp4	4595815.5	Regulation of lgoRp4 by DNA-binding transcriptional repressor UxuR // Regulation of yjjN by DNA-binding transcriptional repressor UxuR
Fis DNA-binding-site 122 bases downstream of ptsGp2	1157747	Regulation of ptsGp1 by DNA-binding transcriptional dual regulator Fis // Regulation of ptsGp2 by DNA-binding transcriptional dual regulator Fis // Regulation of ptsGp1 by DNA-binding transcriptional dual regulator Fis
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 207.5 bases upstream of pncBp	990621.5d0	Regulation of pncBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
GlaR DNA-binding-site regulating smg	3432347	Regulation of smg by DNA-binding transcriptional repressor GlaR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 70.5 bases upstream of mlcp	1668661.5	Regulation of mlcp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of mlcp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of mlcp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CpxR-phosphorylated DNA-binding-site 47 bases upstream of yqjAp1	3247501	Regulation of yqjAp1 by DNA-binding transcriptional dual regulator CpxR-phosphorylated
MelR-melibiose DNA-binding-site 42.5 bases upstream of melAp	4341844.5	Regulation of melAp by DNA-binding transcriptional activator MelR-melibiose // Regulation of melRp by DNA-binding transcriptional activator MelR-melibiose
Fis DNA-binding-site 81 bases upstream of proPp2	4330326	Regulation of proPp2 by DNA-binding transcriptional dual regulator Fis
Fis DNA-binding-site 235.5 bases upstream of nuoAp1	2405570.5	Regulation of nuoAp1 by DNA-binding transcriptional dual regulator Fis
CytR DNA-binding-site 29 bases upstream of ppiAp4	3492478	Regulation of ppiAp4 by DNA-binding transcriptional repressor CytR // Regulation of ppiAp3 by DNA-binding transcriptional repressor CytR // Regulation of ppiAp2 by DNA-binding transcriptional repressor CytR
MngR DNA-binding-site 134.5 bases downstream of mngAp	765944.5	Regulation of mngAp by DNA-binding transcriptional repressor MngR // Regulation of mngRp by DNA-binding transcriptional repressor MngR
ArgP DNA-binding-site 79.5 bases upstream of gdhAp	1842228.5	Regulation of gdhAp by DNA-binding transcriptional dual regulator ArgP
FadR DNA-binding-site 5 bases downstream of uspAp1	3639987	Regulation of uspAp1 by DNA-binding transcriptional dual regulator FadR
GadX DNA-binding-site 210.5 bases upstream of gadBp2	1572282.5	Regulation of gadBp2 by DNA-binding transcriptional dual regulator GadX // Regulation of gadBp by DNA-binding transcriptional dual regulator GadX
Lrp-leu DNA-binding-site regulating avtAp		Regulation of avtAp by DNA-binding transcriptional dual regulator Lrp-L-leucine
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 27.5 bases upstream of nagEp	703812.5d0	Regulation of nagEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of nagBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of nagEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of nagBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
